,result_list
0, 				ㄹㅇ 자유란 단어를 쓰면 극우로 몰리네 ㅋㅋ			  
1, 				나 민식이법때 이거하나 갑자기 생각나네			  
2, 				우리나라 자유주의 정당 없잖어			  
3, 				이러면 리버풀 수퍼레전드 제라드님이 가장 수혜자 아닐까요?			 1  
4, 				아가리로는 자유대한 ㅇㅈㄹ하면서			  
5, 				이건 또 머선 Marigo?			  
6, 				이제 어디가서 일본보고 전체주의 국가라고 하지말자 ㅋㅋㅋㅋㅋㅋ			 1  
7, 				촛불 켰을 때 자유민주주의 국뽕차지 않았냐?			 2  
8, 				이거 머ㅜ냐 ? 네모좌 아니냐 ?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ			 3  
9, 				틀국기 병신들덕분에 재명신이 집권할날이 머지않았다			 1  
10, 				걍 우리나라 국민들 성향이 보통 이럼			 4  
11, 				한중일 신기한점			 3  
12, 				한국인들이 미국인 무식하다고 까는게 제일 어이없음 ㅋㅋ			 1  
13, 				현실의 직장인 20대 여자 대선후보 뽑는기준			 3  
14, 				야동규제도 존나 심각한건데			 2  
15, 				한국 정치인들은 그냥 양반을 하고 싶은 걸까			 1  
16, 				남자만의 힘으로 20만 청원 달성된다는건			 1  
17, 				엠팍에서 깨문이 털리는데 논리가 ㅋㅋ			 2  
18, 				그냥 미국 없었으면 자유민주주의 아니였음 ㅋㅋ			 1  
19, 				잡설. 민주당은 확실히 운동권 정당이 맞긴한가보네요			  
20, 				솔직히 지금 20대도 어느정도는 취업해서			  
21, 				사실 우파란 새끼들도 문제긴 해 ㅋㅋ			 2  
22, 				김두관 진짜 개또라이네			 3  
23, 				인터넷실명제로 가장 ㅈ돼는인물			 2  
24, 				자유민주주의에서 자유를 뺀게 뭘 의미하는지도			 3  
25, 				포텐 간 83년생 진중권.jpg			 2  
26, 				국회의원 시험보게 하면 류호정 장혜영은 백프로 떨어짐			 2  
27, 				걍 우리나라 자유민주주의 이해도가 부족한 나라라니까			 1  
28, 				형들 이런게 시민단체야?			  
29, 				성범죄도 형량 안올리고 애꿎은 한남들만 조지잖슴			  
30, 				내가 볼 땐 이 새끼들 대선 레이스 시작도 안 했는데			  
31, 				야동 규제도 ㅈㄴ 웃김			  
32," 				문재인과 민주당, 이제 거진 혼연일체로 움직이고 있음			  "
33, 				대선출마 예고한 김두관 홍보물 레전드			  
34, 				팝업설문) 여권 대선주자 선호조사			 2  
35, 				진중권상이라는게 있는거 같음			 1  
36, 				야동 금지한다고 씩씩 거리는 놈들이 실명제는 찬성함ㅋㅋ			 1  
37, 				근데 아무리 생각해봐도 남자들이 청원 20만 이상 쌓아올린건 기적아니냐?? ㅋㅋㅋㅋㅋㅋ			  
38, 				당당위 문성호 대표 페북			 2   
39, 				준실명제 발상은 조선의 오가작통법 부활이지			 3  
40, 				준실명제 발상은 조선의 오가작통법 부활이지			 3  
41," 				""중국몽'을 과연 정치인들만 꾸고 있을까? 아니? 난 그렇게 생각 안해			 6  "
42, 				있는 모욕죄도 폐지해야 마땅할 판국에			  
43, 				내가 하나 예측함 이제 다음은 메신져 검열일거임 ㅋㅋㅋㅋㅋㅋㅋㅋ			 3  
44, 				앞으로 해외 커뮤니티가 핫해질듯			  
45," 				김두관 ""내가 노무현·문재인 계승자""…6월 대선출마 예고			 7  "
46, 				내가 볼때  얼굴인식 짱깨cctv도 찬성여론 높을듯			 1  
47, 				룰을 어긴 새끼에 대한 형량을 높이라고			 1  
48, 				모두 해외커뮤니티 개척하러 떠나자			 1  
49, 				'세월호 특검' 13일 현판식…검사 파견후 수사 본격화			  
50, 				민주주의지수 일본한테 따임			  
51, 				국민의힘에도 쓰고 왔지만 준실명제 최대 문제는 집주소 노출이다			 6  
52, 				준실명제가 범죄만 근절하면 반대할사람이 누가 있겠음			 1  
53," 				""서강머""라는 새끼한테 말 좀 전해줘			  "
54, 				국개론을 안들고나올 수가 없다 ㄹㅇ			  
55," 				그냥 청년들의 목소리를 듣겠다, 청년들을 위한 공약 내겠다 이러면 안됨?			 1  "
56, 				홍찍자지의 중대한 실책 중 하나인데			 9  
57, 				악플러 고소하는거에 문제가 있나			 1  
58, 				제주 코로나 하루 최다 확진자 18명 발생…코로나 4차 대유행 현실화			  
59, 				인터넷 실명제하면 연예인들 인스타 못하겠네			  
60, 				한국은 걍 미국때문에 아직까지 민주주의 국가 유지하고 있는거야 ㅋㅋㅋㅋㅋㅋㅋㅋ			  
61, 				집단주의 성향이 강한 나라임 ㅋㅋㅋ			 1  
62, 				고속도로에서 사고가 많으니 고속도로를 없애버립시다!			  
63," 				우리나란 자유에 대한 반박이""그냥 안 하면 되잖아"" 이거임			 2  "
64, 				일단 한국은 우파정당도 자유민주주의를 이해를 못하고있네			 4  
65, 				멀리갈거없이 서구권국가들 마스크안쓰고 돌아다니고 시위하는거			  
66, 				대가리 없는 놈들이 실명제 찬성하는거지			 8  
67, 				난 아메리카 스타일이 좋음			 1  
68, 				인터넷 실명제에 대한 충격적인사실 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ			 10   
69, 				설령 실명제 한다고 쳐도			 1  
70, 				아무리봐도 국짐이나 민주당이나 뭔가 한패란생각이계속들긴함			 1  
71, 				당장 인터넷 실명제 찬성80퍼인 이유가 포텐에서 나옴			 4  
72, 				민식이법 반대하면 스쿨존에서 과속하는 잠재적 살인마새끼고 성범죄 형량 너무 높다고 그러면 님 성범죄자임? 이런 소리 듣는게 대한민국이라는 나라임			 4  
73, 				'아시아 최고 자유민주주의국' ㅋㅋㅋㅋㅋㅋ			 2  
74, 				페이스북가면 실명으로 악플다는 사람들 천지인데			 1  
75, 				스트레스 받으니까 정갤 안들어오려고 마음먹어도			  
76, 				안상영 시장 자살했을때 당시 한나라당이 엄청나게 분노했었구나			  
77, 				우리나라가 이모양 이꼴인 이유			  
78, 				2018년 인터넷실명제 국민여론			 1  
79, 				준실명제 국힘게시판에 단순히 쌍욕박을게아니라			 1  
80, 				야갤 유갤은 여혐을 하는게 아니지			 1  
81, 				???: KDI 새끼들 다~터트릴꼬얌!			 4  
82, 				그런데 저런 법안과 별개로 난 리플 다는거 안좋아하긴 함 ㅋㅋㅋ			 2  
83, 				나중에 개헌할일 생기면 위헌판결 3번받으면 국회의원 짤리는거 추가할수있나			  
84, 				오늘은 인터넷 실명제냐?			  
85, 				국힘 빙신련들			  
86, 				씨발..나라꼴 보니 정치에 신경 끄고 싶네 걍			  
87, 				펨코 또 보배드림 사적제재에 동조해서 신상털이 나섰네			 2  
88, 				준실명제가 국내기업만 조지자나			 2  
89, 				실명제찬성하는놈은 짱개랑 같은수준인거 스스로 보여주는거지			 2  
90, 				인터넷 준실명제 반대하면 또 너 악플러지? 이런 말 들을걸 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ			 3   
91, 				개인적으로 국가에 의한 표현의 자유 억압은 최소화되어야한다고 생각함			 1  
92, 				국힘게시판에 네이버로그인만하면 되는거라 되게 쉬운데 글10개도 안되네			  
93, 				형냐들 우한짱깨폐렴 끝나고 시위한다고 하면 참여함?			 1  
94, 				이러다간 대선전에 내가 먼저 화병으로 뒤지겠다			  
95, 				국힘현상황 : 민주당 180석 또 만들어주고 싶다			  
96," 				인터넷 준실명제가 연애,스포츠댓글 쳐막는거보단			 6  "
97, 				???: 느그 안대희 전관예우는 나쁜 예우			  
98, 				준실명제 를 할게아니라 악플 고소 처벌강화를 해야지			 5  
99, 				큰집 사촌형누나들 부럽네 ㄹㅇ..			  
100, 				준실명제 낸 새끼들 중에서 친박출신 왜이리 많냐			 5  
101, 				인터넷 준실명제 명단에 강민국 의원 있던데			  
102, 				우리나라 사람들은 왤케 악플에 민감한거냐??.txt			 3  
103, 				원래 이런 나라였는데 DNA가 어디 가겠냐			 1  
104, 				앞으로 조선 욕하지마라			 5  
105, 				문재인 대통령의 빛나는 업적			  
106, 				중국 똥꼬를 몇천년간 빨았던 국가의 국민들인데 그 유전자가 어디가겠냐 ㅋㅋㅋㅋㅋㅋㅋㅋ			 2  
107, 				게이들아 정치무관심층은 실명제 찬성하는거암??			 4  
108, 				이준석말대로 시험보게해서 공천줘야함			 1  
109, 				국힘도 보통 병신들이 아니라는걸 가끔 까먹음			  
110, 				진짜 궁굼한 점 2가지			  
111, 				저런 애들을 고쳐써야 하는 판국이라니 ㅋㅋ			  
112, 				자기들 권리 뻇지말고 달라고 목소리 내도 모자를 판에 한국 국민들은 자기들 권리 뺏어가달라고 소리침 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ			  
113, 				모욕죄 발의주도-나경원			 1  
114, 				국힘 수구꼴통 새끼들 민정당 핏줄 어디 안 가지			  
115, 				실명제지지 = 대깨문과 동급인 미친놈들임			  
116, 				500년 조선 성리학에 뇌가 절여져서 그런가			  
117, 				준실명제하면 원베 메갈 사라지고 좋을듯			 2  
118, 				*남충 *싸개 거리는 일부 ㅂㅅ들 특징			  
119, 				저게 악플방지에 도움이 되는 일도 아님			  
120, 				준실명제 무지성으로 지지하는 놈들은 대깨문이랑 민주당 욕하지 마라ㅇㅇ 다를 거 하나 없네			 3  
121, 				국민들 동선을 홈피에 공개하도 아무도 이의제기 안하는 나라			 3  
122, 				한국국민들은 본인들이 선거만 제대로 할 수 있으면 자유민주주의 국가라고 생각함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ			  
123, 				재외국민투표에서 국민의힘이 항상 지는 이유			 3  
124, 				실명제 저건 위헌 뜰 수밖에 없겠지?			 2  
125, 				악플때문에 준실명제 할거면 교통사고 존나 많이 나니까 차도 못타게 하라니까?			  
126, 				국민들 자체가 '자유'라는 개념이 없음 걍 ㅋㅋ			 4  
127, 				아 씨발 진짜 개졷같은 새끼들			 1  
128, 				대깨문 존나게 쳐맞고 있노? ㅋㅋㅋㅋㅋ			 2  
129, 				이런거 싫어하는건 알지만			  
130, 				준실명제하는 이유래			 4  
131, 				이와중에 미소지을 한명...			  
132, 				이준석 당대표 출마 “여성할당제 없애겠다”			 23   
133, 				재앙이 국민고소한거 조롱해놓고			  
134, 				이거 누가 유갤좀 올려주면 안되냐 ㅋㅋㅋ			 1  
135, 				갑자기 그거 생각나네			  
136, 				육모좌 혹시 뻘짓하면			 1  
137, 				개돼지들이 떠든다고 들어주겠냐			 2  
138, 				2030 청년 대선후보 지지율.jpg			 2  
139, 				옛날에 네이트 시절			  
140, 				근데 20대도 68%나 찬성이네			 2  
141, 				그럼 중국 북한가서 살든가 찬성하는 국민새끼들아			 2  
142, 				국짐 병신들			  
143, 				윤석열이 20대 지지율이 낮다면			  
144, 				유갤만 해도 아직도 모욕죄 옹호하는 새끼들이 ㅈㄴ 많네 ㅋㅋ			  
145, 				실명제하면 실명안쓰는 커뮤에서 활개침			  
146, 				인터넷 실명제로 대선지지율 최소 3% 까먹음			 6  
147, 				그냥 esni도입되면 국내 커뮤는 다 망하고 해외에 적을 둔 사이트들이 흥하게 될 듯			 2  
148, 				p싸개 거리지 말아라 ㅋㅋ 일부 ㅄ들아			 2  
149, 				그거 국힘 대출아저씨 ID공개되면 악플 막는게 아니라 문재인 욕하는 입을 막게 되겠지			 2  
150, 				나무위키 gs불매운동 문서 근에서 작성했네			 2  
151, 				김웅 발의 0건으로 깠던거 후회된다			 4  
152, 				페미교사 사상주입사건 총 5개국 배포(아랍어 추가) 및 앞으로의 계획..?			  
153, 				성별 할당제 만들거면 혈액형 할당제 mbti 할당제도 만들어라			  
154, 				자 육모단 드가자~			  
155, 				국민들이 실명제 찬성하니까 정치인들도 병신같은 법안 만드는거임 애초에 국민들 생각부터 문제임			 2  
156, 				갓명박 ㅠㅠ			  
157, 				커뮤니티라는거 자체가			 1  
158, 				페미랑 중국몽까지 섞여있을거면			  
159, 				육모단 출격하라			  
160, 				국회의원이 저런 빠가면 토호 기초의원은 끔찍하지			  
161, 				박대출 국힘이엇냐 ㅋㅋㅋ			  
162, 				틀딱이고 나발이고 국민이 자유에 크게 관심없음			 1  
163, 				아무리 생각해도 한민족은 독재 사회주의가 어울리는 민족이라니까 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ			 3  
164, 				인터넷 실명제 미친거임?			 1  
165, 				코로나 백신은 위험한가? 100만 건당 확률 비교			 1  
166, 				[기독여성심리학관점] 남녀차별은 없습니다.			  
167, 				대한민국 백신 접종 근황			  
168, 				여경보고 치안조무사라고 하면 간호조무사들이 화내야하는거 아님?			 1  
169, 				이준석 페북			  
170, 				런승만만 아니었어도 당 이름 자유당 한번 나올법한데			  
171, 				준실명제 욕처먹었으면 철회해야지 IP는 안할게 ID공개만 함 ㅋㅋ			 1  
172, 				미통당때 이상한애를 너무 많이 주워옴			  
173, 				항상 궁금했던게 왜 박정희가 보수우파의 상징이자 아이돌임?			 35  
174, 				좆주당 반대로만 하면 스무스하게 대선 승리 아님?			 2  
175, 				인터넷 실명제 여론조사			 10  
176, 				휴전이후로 너무 평화로웠지 ㅋㅋ 이제 한번 나라 뒤집어질때 됐다고 본다			  
177, 				여기서만 놀지말고 국힘 게시판 가라고			  
178, 				친박 노인네들은 진짜 개새끼들인 점.			  
179, 				천조국 또 1승			 1  
180, 				친박 틀딱새끼들 좆도안서니까 뇌도활동안하나ㅋㅋㅋㅋㅋ			  
181, 				돌아가는꼴 보니까 내년에 이재명될 가능성도 높음			 2  
182, 				병신 국민의짐 새끼들			  
183, 				우리나라는 민주주의라서 자유가 침해되지			  
184, 				지지자들이랑 정당이랑 지향하는 가치가 다른게 개웃김			  
185, 				보수의 존립에 도움이 안된다고해서 때려죽일 필요는 없고			  
186, 				박대출 준실명제법 혼쭐내러 다들 국힘 게시판으로 가즈아			 2  
187, 				답은 뭐다? 준!찍!자!지!			  
188, 				이스라엘이 무조건 악인건 아님			 2  
189, 				자유를 억압받기 좋아하는 국민과 그 국민들의 표빨기를 좋아하는 정치인의 콜라보가 대한민국이지 ㅋㅋㅋㅋㅋㅋ			 1  
190, 				우리나라엔 자유주의 원내정당이없음			  
191, 				국힘..자유 좋아하시는 분들이 자유를 막네?			 1  
192," 				틀딱들은 ""자유주의""보수를 지향하지 않음			 4  "
193, 				뭐 국힘이 준실명제법같은 병신짓하면서 말을 안듣다고?			  
194, 				육모단덕에 세상이 바뀔거 같음			  
195, 				국힘에서 인터넷 준실명제 이딴걸 발의하네 시발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ			 1  
196, 				김오수 검찰총장 지명자 전관예우 로펌 월 자문료 2900만원			  
197, 				지금 인터넷은 가명성임			  
198, 				또 친박이야?			  
199, 				오늘 미세먼지 일본에 간 김에 항의안되나			  
