,words,amount
1등,1,391
20,1,391
23,1,391
2시,1,391
2월,1,391
3,1,391
3대,2,391
3명,1,391
3시,1,391
6시,1,391
7시,1,391
가격,1,391
가격대비,1,391
가까이,1,391
가능,1,391
가야지저,1,391
가지,1,391
가짓수,1,391
각종,1,391
갈비,4,391
감탄,1,391
갔었습니다그런데,1,391
같아요서버분께서,1,391
같아요아주,1,391
거,5,391
거품,1,391
것,12,391
겉,1,391
게다리,1,391
경,4,391
경험,1,391
곁,1,391
고구마,1,391
고급,1,391
고즈넉,1,391
곳,2,391
곳부진,1,391
과일,2,391
괜찮아요,1,391
괜찮았다북,1,391
교,1,391
구역,1,391
구이,1,391
군데,1,391
규모,1,391
근데,1,391
글,1,391
글구,2,391
기념,1,391
기류들,1,391
기본,1,391
기분,3,391
기억,1,391
길,1,391
깔끔,1,391
깨졌어요파크,1,391
껍데기,1,391
나,4,391
나름,1,391
날,1,391
날리뷰,1,391
남산,1,391
내,2,391
네,2,391
노,2,391
녹차,1,391
높아요두,1,391
놔서,1,391
누구,1,391
다양,1,391
단언,1,391
단정,1,391
당,1,391
대,4,391
대게,1,391
대표,1,391
덕분,1,391
데,1,391
도미,1,391
도착,1,391
돈,1,391
돋보였고에피타이저,1,391
동,1,391
되,1,391
된다쫓기,1,391
두,2,391
두루,1,391
두유,1,391
드라이한,1,391
드시계,1,391
드시더라그,1,391
들,2,391
들겠지양,1,391
들었다분위,1,391
들었습니다평,1,391
듯,2,391
등,2,391
등등,2,391
디,3,391
디저트,7,391
딜,1,391
따뜻,2,391
딸기,2,391
때,2,391
뚜껑,1,391
라,12,391
라세느,2,391
랍게,1,391
랍스터,1,391
래드,1,391
런치,1,391
레드,1,391
레몬,1,391
레스토랑,1,391
롤,1,391
룸,1,391
리,2,391
리필,1,391
마무리,1,391
마음,1,391
마지막,1,391
마카롱,1,391
마켓,1,391
만족,5,391
만족도,1,391
만족스러웠다하,1,391
만족스럽다부,1,391
만한,1,391
맛,7,391
맛있다고하셨고요디저트,1,391
맛있다본식,1,391
맛있다숟가락,1,391
맛있습니당,1,391
맛있어요,1,391
맛있었고요그러,1,391
맛있었다안심,1,391
맛있었다특히,1,391
맛있었습니다뷔페,1,391
맛있었어요일식,1,391
망,1,391
먹었어요미디움,1,391
메,1,391
메뉴,5,391
멤버쉽카드,2,391
명,2,391
명성,1,391
무,1,391
무엇,2,391
뭐,1,391
미성년자,1,391
민어,1,391
믿음,1,391
밀전병,1,391
바,2,391
바삭,3,391
바삭바삭,1,391
반,2,391
반쪽,1,391
방문,4,391
방어,1,391
뱃속,1,391
버린다개인적,1,391
버섯,1,391
번,2,391
베이컨,1,391
병,1,391
복닥거리,1,391
볼,1,391
부,4,391
부실,1,391
부페,2,391
북,4,391
뷔페,9,391
뷰,7,391
블랙,1,391
빵,3,391
사라지,1,391
사람,1,391
사파,1,391
상태,1,391
샐러드,1,391
생각,1,391
생각이었다차,1,391
생크림,1,391
샤오롱,1,391
샴페인,1,391
서비스,1,391
서빙되,1,391
세느,1,391
세션,1,391
소갈비,1,391
속,2,391
손,1,391
손질,1,391
손해,1,391
쇼,1,391
수,6,391
수율,1,391
수프,1,391
순간,1,391
스무,2,391
스시,1,391
스시집보다,1,391
스카이,1,391
스테이크,4,391
스프,7,391
시간,1,391
시리즈,1,391
시작해서,1,391
식,4,391
식당,1,391
식사,2,391
식사였습니다서울,1,391
신선해서,1,391
아리아,3,391
아메리카,1,391
아부지,1,391
아세요저,1,391
아쉬웠습니다더,1,391
아이스크림,1,391
안심,4,391
않았어요그래,1,391
않았어요그런데,1,391
않을까생각했는데,1,391
애,1,391
양,4,391
양념,1,391
양송이,1,391
양파,1,391
어마어마,1,391
언니,1,391
여,2,391
여기,3,391
연말,2,391
영향,1,391
예상,1,391
오,1,391
오늘,1,391
오랜만,1,391
오리,4,391
오이,1,391
와인,3,391
와중,1,391
와플,1,391
왔네요평,1,391
요거트,1,391
요정도,1,391
욕심껏,1,391
욧,1,391
용서해,1,391
우리집,1,391
우지님,1,391
원정대,1,391
위,1,391
유,1,391
유지하기,1,391
육류,1,391
으,1,391
으뜸,1,391
을,1,391
음료,3,391
음식,5,391
음식들,3,391
음식맛,1,391
의,1,391
이,1,391
이닝,1,391
이미지,1,391
이유,1,391
이후,1,391
인,1,391
인상,1,391
일정,1,391
일품이다두툼하,1,391
입,2,391
입가,1,391
입안,1,391
있다가짓수,1,391
있어요아주,1,391
있어요자주,1,391
있었다이전,1,391
자랑,1,391
자리,2,391
잔,3,391
장점,1,391
저,3,391
저녁,1,391
적,2,391
적당,1,391
적하,1,391
전반적,1,391
전체적,1,391
점,1,391
점심,1,391
접시,1,391
정도,1,391
제공,1,391
제공가격,1,391
제품,1,391
젤,1,391
젤리,1,391
조용한,1,391
종류,2,391
좋아요3,1,391
좋았다사람,1,391
좋았습니다시저,1,391
좋았습니다직원,1,391
좋았어요감사합니다다만,1,391
좋았어요아직,1,391
주문,1,391
주었습니다중식,1,391
준비해,1,391
중,9,391
줫,1,391
직원,1,391
집,2,391
집게,2,391
짜장,1,391
쪽,2,391
쫄깃해,1,391
쯤,2,391
채,1,391
첫사랑이었던그런,1,391
청포,1,391
촉,1,391
촌시,1,391
최,1,391
최고,1,391
추,1,391
추천사진,1,391
추천한다스시,1,391
츄,1,391
치,2,391
치즈,1,391
친절하시구,1,391
칩,1,391
커피,1,391
커피라,1,391
컨대호텔,1,391
케이크,2,391
코너,4,391
코코넛,1,391
콜라,1,391
퀄리티,2,391
크림,1,391
키친,1,391
타요한국,1,391
타워,1,391
타임,1,391
탄산음료,1,391
탕수육,1,391
테이블,1,391
튀김,1,391
튜브,1,391
트리,1,391
특별,1,391
티크,1,391
파크,5,391
팔,1,391
패스,2,391
페,4,391
페스,1,391
펠트,1,391
편안했다특별한,1,391
편했다날,1,391
평일,1,391
퐁당,1,391
푸딩,1,391
푸치,1,391
풋내기,1,391
필요,1,391
하구,1,391
하나,2,391
하던가요씩,1,391
하루,1,391
한,1,391
한다멜론,1,391
한두,1,391
한번,2,391
한번쯤,1,391
할인,1,391
할인율,1,391
핫,1,391
했습니다그냥,1,391
호텔,7,391
황홀,2,391
회,2,391
후,1,391
후회,1,391
훌륭,1,391
흥미,1,391
